group	tcpID & section_idx
ground	A41775 12 | 29515
ground	A41775 13
ground	A41775 13 | 29564
ground	A41775 13 | 29597
ground	A41775 13 | 29633
ground	A41775 13 | 29672
ground	A41775 13 | 29707
ground	A41775 13 | 29740
ground	A41775 13 | 29769
ground	A41775 13 | 29800
ground	A41775 13 | 29828
ground	A41775 13 | 29848
ground	A41775 14
ground	A41775 20
ground	A41775 26
ground	A41775 33
ground	A41775 41
ground	A41775 45
ground	A41775 48
ground	A41775 48 | 30060
ground	A41775 48 | 30080
ground	A41775 48 | 30121
ground	A41775 48 | 30168
ground	A41775 48 | 30225
ground	A41775 48 | 30259
ground	A41775 48 | 30287
ground	A41775 48 | 30321
ground	A41775 48 | 30358
ground	A41775 48 | 30408
ground	A41775 48 | 30424
ground	A41775 48 | 30467
ground	A41775 48 | 30510
ground	A41775 48 | 30547
ground	A41775 48 | 30590
ground	A41775 48 | 30630
ground	A41775 48 | 30665
ground	A41775 48 | 30703
ground	A41775 48 | 30734
ground	A41775 48 | 30777
ground	A41775 48 | 30829
ground	A41775 48 | 30872
ground	A41775 48 | 30899
ground	A41775 48 | 30932
ground	A41775 48 | 30962
ground	A41775 48 | 30993
ground	A41775 49
ground	A45222 1
ground	A45222 8
ground	A45222 8 | 31084
ground	A45222 8 | 31127
ground	A45222 8 | 31152
ground	A45222 8 | 31168
ground	A45222 9
ground	A45222 9 | 31218
ground	A45222 9 | 31251
ground	A45222 9 | 31282
ground	A45222 9 | 31302
ground	A45222 9 | 31327
ground	A45222 9 | 31361
ground	A45222 9 | 31381
ground	A45222 9 | 31404
ground	A45222 10
ground	A45222 10 | 31443
ground	A45222 10 | 31463
ground	A45222 10 | 31479
ground	A45222 10 | 31490
ground	A45222 10 | 31499
ground	A41496 1
ground	A41496 2
ground	A41496 3
ground	A52803 6
ground	A52803 9
ground	A52803 10
ground	A52803 11
ground	A52803 12
ground	A52803 13
ground	A52803 14
ground	A52803 15
ground	A52803 16
ground	A52803 17
ground	A52803 18
ground	A52803 19
ground	A52803 20
ground	A56589 1
ground	A56589 3
ground	A56589 9
ground	A56589 10
ground	A56589 10 | 31900
ground	A56589 10 | 31913
ground	A56589 10 | 31928
ground	A56589 10 | 31948
ground	A56589 11
ground	A56589 11 | 31978
ground	A56589 11 | 32006
