subject_heading,frequency
War --  Early works to 1800.,6
Anabaptists --  Early works to 1800.,6
Jesus Christ --  Devotional literature --  Early works to 1800.,6
"Nedham, Marchamont, 1620-1678 --  Early works to 1800.",6
Liberty of conscience --  England --  Early works to 1800.,6
"Political satire, English --  17th Century.",6
"Anglo-Dutch War, 1652-1654 --  Early works to 1800.",6
"Charles --  II, --  King of England, 1630-1685 --  Coronation --  Early works to 1800.",6
Ireland --  History --  1649-1660 --  Early works to 1800.,6
Puritans --  Controversial literature --  Early works to 1800.,6
Quacks and quackery --  Early works to 1800.,6
Suffering --  Early works to 1800.,6
"Lilly, William, 1602-1681 --  Early works to 1800.",6
Young women --  Conduct of life --  Early works to 1800.,6
Quakers --  Controversial literature --  Early works to 1800.,6
Ireland --  History --  17th century.,6
Shorthand --  Early works to 1800.,6
Bible. --  O.T. --  Genesis --  Commentaries.,6
Church of England. --  Book of common prayer --  Early works to 1800.,6
Exorcism --  Early works to 1800.,6
Church of England --  Liturgy --  Early works to 1800.,6
Persecution --  Early works to 1800.,6
Miracles --  Early works to 1800.,6
Emperors --  Rome --  Early works to 1800.,6
Popes --  Temporal power --  Early works to 1800.,6
Catholic Church --  Controversial literature --  Protestant authors.,6
Papacy --  Early works to 1800.,6
"Oath of allegiance, 1606 --  Early works to 1800.",6
Piety.,6
"History, Ancient.",6
East India Company --  Early works to 1800.,6
Bees --  Early works to 1800.,6
Ethics.,6
Inventions --  Early works to 1800.,6
Jealousy --  Early works to 1800.,6
Law --  Great Britain --  Early works to 1800.,6
Death.,6
Royal supremacy (Church of England),6
Trinity.,6
"Parker, Henry, 1604-1652. --  Observations upon some of His Majesties late answers and expresses.",6
Church and state.,6
Treason --  England.,6
Protestants --  France.,6
England and Wales. --  Army.,6
Learning and scholarship --  Early works to 1800.,6
Prophecies (Occultism),6
Schism.,6
God --  Worship and love.,6
Constitutional history --  Great Britain.,6
Arminianism.,6
Church of England --  Prayer-books and devotions.,6
Great Britain --  Politics and government.,6
"Charles --  I, --  King of England, 1600-1649 --  Sermons.",6
England and Wales. --  Parliament. --  House of Commons.,6
Omens.,6
Great Britain --  Politics and government --  1642-1660.,6
Ireland --  History --  War of 1689-1691.,6
Sin.,6
"Rye House Plot, 1683.",6
"Great Britain --  History --  Civil War, 1642-1649 --  Peace --  Early works to 1800.",6
"France --  History --  Henry IV, 1589-1610.",5
"Ethics, Ancient.",5
"Romances, English --  Early works to 1800.",5
Heraldry --  Early works to 1800.,5
"Abnormalities, Human --  Early works to 1800.",5
Women --  Controversial literature.,5
Bishops --  England.,5
"Bible. --  Selections --  Paraphrases, English.",5
Phlebotomy --  Early works to 1800.,5
Alcoholism --  Early works to 1800.,5
"Frederick --  I, --  King of Bohemia, 1596-1632.",5
Theater --  Moral and ethical aspects --  Early works to 1800.,5
Lord's Supper --  Church of England --  Early works to 1800.,5
Hell --  Early works to 1800.,5
Temperance --  Early works to 1800.,5
Troy (Ancient city) --  Romances --  Early works to 1800.,5
Posture in worship --  Early works to 1800.,5
Reason --  Early works to 1800.,5
"Henry Frederick, --  Prince of Wales, 1594-1612.",5
"Netherlands --  History --  Wars of Independence, 1556-1648.",5
"Luther, Martin, 1483-1546 --  Early works to 1800.",5
"Overbury, Thomas, --  Sir, 1581-1613.",5
Northwest Passage --  Early works to 1800.,5
Bible. --  O.T. --  Jonah --  Commentaries --  Early works to 1800.,5
Husband and wife --  Early works to 1800.,5
"Buckingham, George Villiers, --  Duke of, 1592-1628.",5
Oratory --  Early works to 1800.,5
Diet --  Early works to 1800.,5
Good and evil --  Early works to 1800.,5
Oaths --  Early works to 1800.,5
Brownists --  Early works to 1800.,5
Bible --  Commentaries.,5
"Sherlock, William, 1641?-1707.",5
Conversion.,5
Bible. --  N.T. --  Commentaries.,5
Judgment of God.,5
"James --  II, --  King of England, 1633-1701 --  Coronation.",5
"Mary, --  of Modena, Queen, consort of James II, King of England, 1658-1718 --  Coronation.",5
Virtue --  Early works to 1800.,5
Grace (Theology) --  Sermons.,5
Church of England --  Biography.,5
Religious tolerance --  England.,5
Atheism.,5
"Prerogative, Royal --  England.",5
"Dissenters, Religious --  Controversial literature.",5
Swearing.,5
Scotland --  Kings and rulers.,5
"Monmouth, James Scott, --  Duke of, 1649-1685 --  Early works to 1800.",5
"Bible --  Paraphrases, English.",5
Freedom of religion --  England.,5
"Religious satire, English.",5
"Chronology, Historical.",5
