subject_heading,frequency
Great Britain --  Politics and government --  1689-1702 --  Early works to 1800.,5
Second Advent --  Early works to 1800.,5
Sanctification --  Early works to 1800.,5
"France --  History --  Wars of the Huguenots, 1562-1598 --  Early works to 1800.",5
Dueling --  Early works to 1800.,5
Precedence --  Early works to 1800.,5
Church --  Early works to 1800.,5
Europe --  History --  1517-1648 --  Early works to 1800.,5
Law --  England --  Early works to 1800.,5
Jews --  Early works to 1800.,5
Bible. --  O.T. --  Ecclesiastes --  Commentaries.,5
Catholic Church --  Ireland --  Early works to 1800.,5
Altars --  Early works to 1800.,5
Jesus Christ --  Descent into hell --  Early works to 1800.,5
East India Company.,5
Church of Scotland --  Controversial literature.,5
Bible. --  N.T. --  Matthew --  Commentaries --  Early works to 1800.,5
"Swetnam, Joseph, fl. 1617. --  Arraignment of lewd, idle, froward, and unconstant women --  Controversial literature --  Early works to 1800.",5
Wounds and injuries --  Treatment --  Early works to 1800.,5
Cosmography --  Early works to 1800.,5
Bible. --  O.T. --  Psalms --  Commentaries.,5
Bible. --  O.T. --  Song of Solomon --  Commentaries.,5
Great Britain --  Constitutional law --  Early works to 1800.,5
Christianity and other religions --  Judaism --  Early works to 1800.,5
Bible. --  N.T. --  Revelation --  Commentaries.,5
Resurrection --  Early works to 1800.,5
Rosicrucians.,5
Regicides.,5
Religious tolerance --  Great Britain.,5
England and Wales. --  Parliament --  History.,5
France --  Court and courtiers.,5
Netherlands --  History --  1648-1714.,5
Self-denial --  Early works to 1800.,5
God --  Attributes.,5
Ireland --  History --  Rebellion of 1641.,5
Air --  Early works to 1800.,5
Church of Scotland.,5
Political science.,5
Church of England --  Pastoral letters and charges.,5
Catholic Church --  England --  Controversial literature.,5
Curiosities and wonders --  Early works to 1800.,5
"Sherlock, William, 1641?-1707. --  Case of the allegiance due to soveraign powers.",5
Freedom of religion.,5
Pre-existence.,5
Christian life --  Biblical teaching --  Early works to 1800.,5
Sin --  Sermons.,5
Scotland --  History --  1689-1745.,5
Ecclesiastical law --  England.,5
"Goodwin, John, 1594?-1665. --  Redemption redeemed.",5
"Grotius, Hugo, 1583-1645.",5
"Shipton, --  Mother --  (Ursula)",5
Prostitution --  Early works to 1800.,5
Church of England --  Bishops --  Temporal power.,5
"Marvell, Andrew, 1621-1678. --  Rehearsal transpros'd.",5
"Rupert, --  Prince, Count Palatine, 1619-1682.",5
Quakers --  England --  Controversial literature --  Early works to 1800.,5
Great Britain --  History --  To 1066.,5
Spies --  Europe.,5
Reformation --  England --  Early works to 1800.,5
Greece --  Biography --  Early works to 1800.,5
Rome --  Biography --  Early works to 1800.,5
Kings and rulers --  Religious aspects --  Early works to 1800.,5
Ranters --  Controversial literature --  Early works to 1800.,5
"Great Britain --  History --  Civil War, 1642-1649 --  Sermons --  Early works to 1800.",5
Ale --  Early works to 1800.,4
"Mythology, Classical --  Early works to 1800.",4
Italian literature --  Translations into English --  Early works to 1800.,4
Plague --  England --  Early works to 1800.,4
"Bible --  Examinations, questions, etc. --  Early works to 1800.",4
Riddles --  Early works to 1800.,4
Inquisition --  Spain --  Early works to 1800.,4
Despotism --  Early works to 1800.,4
Catholic Church. --  Controversial literature --  Early works to 1800.,4
Primers (Prayer-books) --  Catholic Church --  Early works to 1800.,4
"Devotional literature, English --  Early works to 1800.",4
Truthfulness and falsehood --  Early works to 1800.,4
Italian fiction --  Translations into English --  Early works to 1800.,4
Turkey --  History --  Early works to 1800.,4
Human beings --  Early works to 1800.,4
Character sketches.,4
Great Britain --  Politics and government --  1558-1603 --  Early works to 1800.,4
Military art and science --  England --  Early works to 1800.,4
Chess --  Early works to 1800.,4
Virtues --  Early works to 1800.,4
"Smyth, Thomas, --  servaunt to the Quenes most excellent Majestie.",4
"Churchyard, Thomas, 1520?-1604. --  Davy Dycars dreame.",4
Davy Dycars dreame.,4
"Great Britain --  History, Naval --  Stuarts, 1603-1714.",4
England --  Social conditions --  17th century --  Early works to 1800.,4
America --  Early accounts to 1600.,4
Church of England --  Prayer-books and devotions --  Early works to 1800.,4
Allegiance --  England --  Early works to 1800.,4
"Bible --  Paraphrases, English --  Early works to 1800.",4
Usury --  Early works to 1800.,4
Smoking --  Early works to 1800.,4
Bible. --  N.T. --  Gospels --  Commentaries.,4
"Mary, --  Queen of Scots, 1542-1587 --  Early works to 1800.",4
Popes --  Primacy --  Early works to 1800.,4
"Churchyard, Thomas, 1520?-1604. --  Davy Dicars dreame.",4
"Church history --  Primitive and early church, ca. 30-600 --  Early works to 1800.",4
"Askew, Anne, 1521-1546.",4
Fishing --  England --  Early works to 1800.,4
Authority --  Religious aspects --  Early works to 1800.,4
Melancholy --  Early works to 1800.,4
Jesus Christ --  Person and offices.,4
"Luther, Martin, 1483-1546.",4
Marriage --  Anecdotes,4
"Great Britain --  History --  William and Mary, 1689-1702 --  Sources.",4
God --  Wrath.,4
Women --  Anecdotes,4
Incarnation --  Early works to 1800.,4
Censorship --  England --  Early works to 1800.,4
"Whitehead, George, 1636?-1723.",4
Kingdom of God.,4
Persecution --  England.,4
Christian biography.,4
"Richard --  II, --  King of England, 1367-1400.",4
"Thynne, Thomas, 1648-1682.",4
Jesus Christ --  Meditations.,4
Persecution --  France.,4
"Catherine, --  of Braganza, Queen, consort of Charles II, King of England, 1638-1705.",4
"Theology --  History --  Early church, ca. 30-600.",4
Antichrist.,4
"Pierce, Thomas, 1622-1691.",4
Smectymnuus.,4
Providence and government of God --  Sermons.,4
Catechisms.,4
Society of Friends --  Early works to 1800.,4
Hydrotherapy --  Early works to 1800.,4
Natural theology --  Early works to 1800.,4
Cosmology --  Early works to 1800.,4
"Hickeringill, Edmund, 1631-1708.",4
"Glees, catches, rounds, etc.",4
Martyrs --  Early works to 1800.,4
"Bible. --  O.T. --  Psalms --  Paraphrases, Welsh.",4
Great Britain --  Foreign relations --  Netherlands --  Early works to 1800.,4
Great Britain --  Foreign relations --  France --  Early works to 1800.,4
Sundials --  Early works to 1800.,4
Courtship --  England --  Early works to 1800.,4
Fruit-culture.,4
Mysticism --  Early works to 1800.,4
Death --  Religious aspects --  Christianity.,4
Great Britain. --  Parliament --  History --  Early works to 1800.,4
"Suckling, John, --  Sir, 1609-1642.",4
"Voyages, Imaginary.",4
Virtue.,4
"Philosophy, English --  17th century.",4
"Rye House Plot, 1683 --  Early works to 1800.",4
Great Britain --  Politics and government --  1660-1714,4
Faith and reason.,4
Church history --  17th century.,4
"Essex, Robert Devereux, --  Earl of, 1591-1646.",4
Fruit-culture --  Early works to 1800.,4
Church of England --  Discipline --  Early works to 1800.,4
"Ormonde, James Butler, --  Duke of, 1610-1688.",4
"Hymns, English --  Texts.",4
Trials (Treason) --  England --  Early works to 1800.,4
Pageants --  England --  London --  Early works to 1800.,4
"Great Britain --  History --  Civil War, 1642-1649 --  Sources --  Early works to 1800.",4
Ten commandments.,4
Archery --  Early works to 1800.,4
Plague --  Prevention --  Early works to 1800.,4
"Hooker, Richard, 1553 or 4-1600.",4
Money --  Early works to 1800.,4
Physiognomy --  Early works to 1800.,4
Tithes --  Great Britain.,4
Children --  Religious life --  Early works to 1800.,4
Kent (England) --  History --  Early works to 1800.,4
"Henry Frederick, --  Prince of Wales, 1594-1612 --  Early works to 1800.",4
Prayer-books.,4
Jews --  History --  Early works to 1800.,4
"Catechisms, Welsh --  Early works to 1800.",4
Piety --  Early works to 1800.,4
"Essex, Robert Devereux, --  Earl of, 1566-1601.",4
"Nedham, Marchamont, 1620-1678.",4
Brownists --  Controversial literature --  Early works to 1800.,4
"Great Britain --  History --  Richard II, 1377-1399 --  Early works to 1800.",4
"Colchester (England) --  History --  Siege, 1648 --  Early works to 1800.",4
"Massachusetts --  History --  Colonial period, ca. 1600-1775 --  Early works to 1800.",4
Inner Light.,4
"Albemarle, George Monck, --  Duke of, 1608-1670 --  Early works to 1800.",4
Continuity of the church --  Anglican Communion --  Early works to 1800.,4
"Pembroke, Philip Herbert, --  Earl of, 1584-1650.",4
Scotland --  History --  1649-1660 --  Early works to 1800.,4
Millennium --  Early works to 1800.,4
"Peters, Hugh, 1598-1660 --  Early works to 1800.",4
Christian life --  Meditations --  Early works to 1800.,4
"Bradshaw, John, 1602-1659 --  Early works to 1800.",4
"Great Britain --  History --  Henry VIII, 1509-1547 --  Early works to 1800.",4
"Keith, George, 1639?-1716.",4
"Lilburne, John, 1614?-1657 --  Imprisonment --  Early works to 1800.",4
"Albemarle, George Monck, --  Duke of, 1608-1670.",4
Solar eclipses --  1652 --  Early works to 1800.,4
Arminianism --  Early works to 1800.,4
Separatists --  England --  Early works to 1800.,4
"Montrose, James Graham, --  Marquis of, 1612-1650.",4
Order of the Garter --  Early works to 1800.,4
End of the world --  Early works to 1800.,4
Jesus Christ --  Seven last words --  Early works to 1800.,4
"Great Britain --  History --  James II, 1685-1688 --  Early works to 1800.",4
"Burnet, Gilbert, 1643-1715.",4
"Sermons, English --  17th century --  Early works to 1800.",4
Council of Trent (1545-1563) --  Early works to 1800.,4
France --  History --  Early works to 1800.,4
Distillation --  Early works to 1800.,4
Election (Theology) --  Early works to 1800.,4
Ten Commandments --  Early works to 1800.,4
Horses --  Early works to 1800.,4
"Interludes, English --  Early works to 1800.",4
Preaching --  Early works to 1800.,4
Antinomianism --  Early works to 1800.,4
Patience --  Religious aspects --  Early works to 1800.,4
Nobility --  Early works to 1800.,4
"Oath of allegiance, 1606.",4
Church of England --  Controversial literature --  Anglican authors --  Early works to 1800.,4
Indians of North America --  Early works to 1800.,4
"Prynne, William, 1600-1669.",4
Puritans --  Doctrines.,4
Arianism --  Early works to 1800.,4
Heresy --  Early works to 1800.,4
Turkey --  History --  1453-1683 --  Early works to 1800.,4
Atonement --  Early works to 1800.,4
Allegiance --  Early works to 1800.,4
Witchcraft --  England.,4
Greece --  History --  Early works to 1800.,4
Religions --  Early works to 1800.,4
Psychology --  Early works to 1850.,4
Commerce --  Early works to 1800.,4
Church of England --  Creeds --  Early works to 1800.,4
Christianity and other religions --  Early works to 1800.,4
Naval art and science --  Early works to 1800.,4
Catholic Church --  Prayer-books and devotions.,4
Scolds --  Early works to 1800.,4
Visitation sermons --  Early works to 1800.,4
Earth --  Early works to 1800.,4
Catholic Church --  Prayer-books and devotions --  English.,4
Bible --  Liturgical use.,4
Bible. --  N.T. --  Epistles --  Commentaries.,4
"Thirty Years' War, 1616-1648 --  Early works to 1800.",4
Great Britain --  Kings and rulers --  Biography.,4
"Carols, English.",4
Chocolate --  Early works to 1800.,4
Happiness --  Early works to 1800.,4
"Great Britain --  History --  Mary I, 1553-1558.",4
Painting --  Early works to 1800.,4
Lord's Supper --  Church of England.,4
Public worship.,4
Calvinism --  Early works to 1800.,4
Coinage --  England --  Early works to 1800.,4
Freedom of religion --  Great Britain.,4
England and Wales. --  Parliament. --  House of Lords.,4
Ireland --  Politics and government --  17th century.,4
Magic.,4
Fear of God.,4
Presbyterian Church --  Sermons.,4
"Morley, George, 1597-1684.",4
Holiness --  Early works to 1800.,4
Antinomianism.,4
"Burnet, Thomas, 1635?-1715. --  Telluris theoria sacra.",4
Regeneration (Theology),4
Church of England --  Discipline.,4
Idols and images --  Worship.,4
"Descartes, René, 1596-1650.",4
"Gauden, John, 1605-1662.",4
Catholic Church --  Relations --  Church of England.,4
Church of England. --  Thirty-nine Articles.,4
Heresy.,4
Faith --  Sermons.,4
Truth.,4
"Great Britain --  History --  Stuarts, 1603-1714 --  Biography.",4
"Heylyn, Peter, 1600-1662.",4
"Stillingfleet, Edward, 1635-1699. --  Discourse concerning the idolatry practised in the Church of Rome.",4
"J. V. C. --  (John Vincent Canes), d. 1672. --  Fiat lux.",4
"Hobbes, Thomas, 1588-1679. --  Leviathan.",4
Confirmation --  Early works to 1800.,4
Brownists.,4
Wales --  History.,4
Allegiance --  Great Britain.,4
Presbyterian Church --  Controversial literature.,4
Women --  Biography.,4
Religion --  Philosophy.,4
Jesuits --  England.,4
"Kéroualle, Louise-Renée de, --  Duchess of Portsmouth and Aubigny, 1649-1734.",4
"Baxter, Richard, 1615-1691 --  Early works to 1800.",4
"Stafford, William Howard, --  Viscount, 1614-1680.",4
Monarchy --  Great Britain.,4
"Grand Alliance, War of the, 1689-1697.",4
Test Act (1673),4
Europe --  History --  1648-1715.,4
Law --  Great Britain.,4
Congregational churches --  Sermons.,4
Panama --  Colonization.,4
Panama --  Discovery and exploration.,4
English language --  Orthography and spelling --  Early works to 1800.,4
Catholic Church --  Infallibility.,4
"Stucley, Thomas, 1525?-1578 --  Early works to 1800.",4
Westminster Assembly (1643-1652),4
"Hammond, Henry, 1605-1660.",4
"Essex, Arthur Capel, --  Earl of, 1631-1683.",4
"Strafford, Thomas Wentworth, --  Earl of, 1593-1641 --  Early works to 1800.",4
Ireland --  History --  War of 1689-1691 --  Early works to 1800.,4
Predestination.,4
"Virginia --  History --  Colonial period, ca. 1600-1775.",4
