id,title,authors,publisher,pubplace,date,subject_heading
A17961,"Poems By Thomas Carevv Esquire. One of the gentlemen of the Privie-Chamber, and Sewer in Ordinary to His Majesty.","Jones, Inigo, 1573-1652.; Carew, Thomas, 1595?-1639? Cœlum Britannicum.; Carew, Thomas, 1595?-1639?",Printed by I D for Thomas Walkley and are to be sold at the signe of the flying Horse between Brittains Burse and York House,London,1640,
A19878,Madagascar with other poems. By W. Davenant.,"D'Avenant, William, Sir, 1606-1668.",Printed by Iohn Haviland for Thomas Walkly and are to be sold at his shop at the Flying Horse neare Yorke house,London,1638,
A11089,"Odes In imitation of the seauen penitential psalmes, vvith sundry other poemes and ditties tending to deuotion and pietie.","Verstegan, Richard, ca. 1550-1640.",Imprinted by A Conincx,Antwerp,1601,
A16668,A new spring shadovved in sundry pithie poems. Musophilus,"Brathwaite, Richard, 1588?-1673.",Printed by G Eld for Thomas Baylie and are to be sold at his shop in the middle row in Holborne neere Staple Inne,London,1619,
A16731,"Brittons bovvre of delights Contayning many, most delectable and fine deuices, of rare epitaphes, pleasant poems, pastorals and sonets by N.B. Gent.","Breton, Nicholas, 1545?-1626?; Jones, Richard, fl. 1564-1602.",By Richard Ihones at the Rose and Crowne neere Holborne Bridge,Imprinted at London,1591,
A16742,"An excellent poeme, vpon the longing of a blessed heart which loathing the world, doth long to be with Christ. With an addition, vpon the definition of loue. Compiled by Nicholas Breton, Gentleman.","Breton, Nicholas, 1545?-1626?",By R Bradock for Iohn Browne and Iohn Deane,Imprinted at London,1601,
A12034,Poems: vvritten by Wil. Shake-speare. Gent,"Marshall, William, fl. 1617-1650, engraver.; Shakespeare, William, 1564-1616.",By Tho Cotes and are to be sold by Iohn Benson dwelling in St Dunstans Church yard,Printed at London,1640,
A35654,"Poems and translations with the Sophy / written by the Honourable Sir John Denham, Knight of the Bath.","Denham, John, Sir, 1615-1669. Sophy.; Denham, John, Sir, 1615-1669.; Virgil. Aeneis. Liber 2. English.",Printed for H Herringman,London,1668,
A39652,Poems and songs by Thomas Flatman.,"Flatman, Thomas, 1637-1688.",Printed by S and B G for Benjamin Took and Jonathan Edwin,London,1674,
A33611,"A chain of golden poems embellished with wit, mirth, and eloquence : together with two most excellent comedies, (viz.) The obstinate lady, and Trappolin suppos'd a prince / written by Sr Aston Cokayn.","Cokain, Aston, Sir, 1608-1684. Trappolin creduto principe.; Cokain, Aston, Sir, 1608-1684.; Cokain, Aston, Sir, 1608-1684. Obstinate lady.",Printed by W G and are to be sold by Isaac Pridmore,London,1658,
A36680,The second part of Absalom and Achitophel a poem.,"Tate, Nahum, 1652-1715.; Dryden, John, 1631-1700.",Printed for Jacob Tonson,London,1682,
A34829,Poems written by A. Cowley.,"Cowley, Abraham, 1618-1667.",Printed for Humphrey Moseley,London,1656,
A37538,Coopers Hill a poeme.,"Denham, John, Sir, 1615-1669.",s n,S l,1643,
A33435,"J. Cleaveland revived poems, orations, epistles, and other of his genuine incomparable pieces never before publisht : with some other exquisite remains of the most eminent wits ... that were his contemporaries.","Williamson, E., 17th cent.; Cleveland, John, 1613-1658.",Printed for Nathaniel Brook,London,1659,
A33439,Poems by J.C. ; with additions.,"Cleveland, John, 1613-1658.",s n,S l,1651,
A39344,Divine Poems by Edmund Elis ...,"Elys, Edmund, ca. 1634-ca. 1707.",Printed by T Lock for the use of the author,London,1659,
A34171,"Poems, with a maske by Thomas Carew ... ; the songs were set in musick by Mr. Henry Lawes ...","Lawes, Henry, 1596-1662. Coelum britannicum. Libretto.; Carew, Thomas, 1595?-1639?; Carew, Thomas, 1595?-1639? Coelum britannicum.",Printed for H M and are to be sold by J Martin,London,1651,
A33819,"A Collection of letters and poems microform / written by several persons of honour and learning, upon divers important subjects, to the late Duke and Dutchess of Newcastle.","Newcastle, William Cavendish, Duke of, 1592-1676.; Newcastle, Margaret Cavendish, Duchess of, 1624?-1674.",Printed by Langly Curtis,London,1678,
A34548,"Certain elegant poems, written by Dr. Corbet, Bishop of Norvvich","Corbet, Richard, 1582-1635.",printed by R Cotes for Andrew Crooke at the Green Dragon in Pauls Church yard,London,1647,
A39233,"Poems, or, Epigrams, satyrs, elegies, songs and sonnets, upon several persons and occasions","Eliot, John.",Printed for Henry Brome,London,1658,
